alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_nom_fr,"Energie, N x facteur Jones, avec fibres  (kJ/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),AG saturés (g/100 g),Fibres alimentaires (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Vitamine C (mg/100 g)
"viandes, œufs, poissons et assimilés",viandes crues,"Cervelle, agneau, crue",508,"79,2","10,4","0,8","8,58",0,"2,19",0,1350,"0,28",16
"viandes, œufs, poissons et assimilés",viandes crues,"Cervelle, porc, crue",516,"78,4","10,3",0,"9,21",0,"2,08",0,2200,"0,3","13,5"
"viandes, œufs, poissons et assimilés",viandes crues,"Cervelle, veau, crue",488,"79,8","10,3","0,5","8,21",0,"1,91",0,1590,"0,32",14
"viandes, œufs, poissons et assimilés",viandes crues,"Coeur, boeuf, cru",435,79,"18,5","0,7","2,95",0,"0,74",0,137,"0,2",2
"viandes, œufs, poissons et assimilés",viandes crues,"Coeur, poulet, cru",622,"73,6","15,6","0,7","9,32",0,"2,66",0,136,"0,17","3,2"
"viandes, œufs, poissons et assimilés",viandes crues,"Coeur, dinde, cru",566,"74,5","16,7","0,4","7,44",0,"1,92",0,225,"0,32",3
"viandes, œufs, poissons et assimilés",viandes crues,"Coeur, agneau, cru",497,"76,7","16,5","0,4","5,68","0,4","2,25",0,135,"0,22",5
"viandes, œufs, poissons et assimilés",viandes crues,"Coeur, porc, cru",457,"77,4","17,1","0,4","4,33",0,"1,08",0,131,"0,2","4,15"
"viandes, œufs, poissons et assimilés",viandes crues,"Coeur, veau, cru",446,"77,3","16,1","1,8","3,84",0,"1,24",0,127,"0,23","6,5"
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, agneau, cru",622,"71,2","21,8","2,92","5,45",2,"1,45",0,371,"0,14",4
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, génisse, cru",579,70,21,"3,67","4,3",0,"1,26",0,288,"0,15",23
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, veau, cru",505,"71,6","15,5","5,64","3,4",0,"1,31",0,286,"0,16","9,75"
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, volaille, cru",561,0,"21,3","1,13","4,88",0,"1,65",0,0,"0,21",25
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, lapin, cru",556,"70,8",19,5,4,"3,75","0,81",0,263,"0,17",9
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, poulet, cru",509,"74,5","18,8","1,1","4,62",0,"1,46",0,398,"0,17","19,7"
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, dinde, cru",514,"75,5","18,3",0,"5,5",0,"1,66",0,415,"0,33","24,5"
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, porc, cru",536,"72,7","20,6","1,85","4,2","1,1","1,66",0,301,"0,34","25,2"
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, oie, cru",543,"71,8","16,3","6,3","4,29",0,"1,59",0,515,"0,27","4,5"
"viandes, œufs, poissons et assimilés",viandes crues,"Foie, canard, cru",549,"71,8","18,7","3,5","4,62",0,"1,44",0,515,"0,27","4,5"
"viandes, œufs, poissons et assimilés",viandes crues,"Langue, boeuf, crue",804,"67,7","16,8","0,4","13,8","0,2","4,69",0,87,"0,17","2,9"
"viandes, œufs, poissons et assimilés",viandes crues,"Langue, veau, crue",632,"71,9",17,"0,9","8,84",0,"3,73",0,62,"0,22","3,85"
"viandes, œufs, poissons et assimilés",viandes crues,"Langue, porc, crue",794,"68,8","16,6","0,5","13,6",0,"4,97",0,101,"0,25","3,55"
"viandes, œufs, poissons et assimilés",viandes crues,"Langue, agneau, crue",695,71,"15,4","1,75","10,9","< 0,5","3,52",0,0,"0,25",0
"viandes, œufs, poissons et assimilés",viandes crues,"Ris, agneau, cru",508,"74,6","14,6",0,"7,04",0,"3,12",0,260,"0,18",38
"viandes, œufs, poissons et assimilés",viandes crues,"Ris, veau, cru",407,"76,6","17,4",0,"3,02",0,"1,25",0,202,"0,19","49,2"
"viandes, œufs, poissons et assimilés",viandes crues,"Rognon, boeuf, cru",404,"79,8","17,1","0,9","2,65",0,"0,5",0,411,"0,42","12,2"
"viandes, œufs, poissons et assimilés",viandes crues,"Rognon, porc, cru",412,"79,1","16,4","1,1","3,13",0,"1,02",0,319,"0,35","13,3"
"viandes, œufs, poissons et assimilés",viandes crues,"Rognon, agneau, cru",396,"79,7","14,7","1,13","3,43","< 0,5","0,93",0,337,"0,52",11
"viandes, œufs, poissons et assimilés",viandes crues,"Rognon, veau, cru",363,78,16,"0,2","2,36",0,"0,82",0,364,"0,46","9,5"
"viandes, œufs, poissons et assimilés",viandes crues,"Tripes, boeuf, crues",342,"84,2","12,1",0,"3,69",0,"1,29",0,122,"0,24",3
"viandes, œufs, poissons et assimilés",viandes crues,"Sang, boeuf, cru",349,"80,5","19,5","0,8","0,12","0,8","0,04",0,190,"0,6",0
"viandes, œufs, poissons et assimilés",viandes crues,"Gésier, poulet, cru",443,"77,8","17,3","0,6","3,75",0,"1,12",0,240,"0,18","3,7"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Charcuterie (aliment moyen),991,"58,5","19,7","1,47","17,1","0,86","6,61","0,25",77,"2,47",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon persillé en gelée,637,"69,6",19,"0,48","7,9","0,3","2,8",0,"62,5","1,67","10,4"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon de porc à cuire ou Jambon à rôtir/cuire au four,673,"70,1","19,9",0,"9,08",0,"3,11",0,69,"0,16","0,8"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Filet de bacon,500,"70,1","23,1","0,7","2,6","< 0,2","1,02",0,"47,2","3,18","6,55"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, fumé",569,"73,2",20,"0,79","5,8","0,62","2,36","0,1","34,1","1,93",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, supérieur",527,"73,3","20,8","0,81","4,28","0,77","1,58","< 0,15","39,8","1,79","18,1"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, supérieur, avec couenne",576,"72,2","20,2","0,91","5,82","0,77","2,13","0,33",0,"1,87",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, supérieur, découenné",492,73,"20,5","0,77","3,52","0,76","1,36","0,05",62,"1,87",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon à l'os braisé,992,"58,4","21,6","0,3","16,8",0,"5,98",0,62,"2,97",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, supérieur, découenné dégraissé",501,"72,8","20,3","1,03","3,66","0,82","1,24","0,32",57,"1,82",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, supérieur, à teneur réduite en sel",509,0,"20,8","0,74","3,83","0,74","1,5","< 0,42",0,"1,48",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, choix",528,"72,3","19,5","1,7","4,5","1,7","1,78","0,08",0,"2,1",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Épaule de porc, cuite, choix, découennée dégraissée",507,"71,7",18,"1,93","4,5","1,35","1,4","< 0,5",48,"2,33",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, choix, avec couenne",572,"71,5","19,4","0,55","6,3","< 0,2",0,0,0,"3,06",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, choix, découenné dégraissé",481,"72,1","19,6","1,61","3,24","1,32","1,18","0,15",0,"1,96",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rond de jambon cuit,761,66,"20,3","1,4","10,6",0,0,0,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Dés, allumettes, râpé ou haché de jambon",508,0,"17,9","2,08","4,46","1,69","1,81","0,36",0,"2,06",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Épaule de porc, cuite, standard, découennée dégraissée",515,"71,8","13,7","3,58","5,98",0,0,0,0,"3,62",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cuit, de Paris, découenné dégraissé",485,0,20,"1,08","3,42",0,0,0,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Dés, allumettes, râpé ou haché de jambon de volaille",554,0,18,"1,58","5,88","1,25","2,35","0,5",0,"2,2",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambonneau, cuit",679,"65,5","23,2","0,4","7,52","0,4","2,93",0,0,"2,12",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon de poulet ou Blanc de poulet en tranche,446,"74,3","20,7","1,39","1,79","1,13","0,54","0,53","57,8","1,86","17,9"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon de dinde ou Blanc de dinde en tranche,441,74,"20,9","1,29","1,67","1,08","0,54","0,39","39,3","1,9","26,3"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon cru,939,"50,1","25,9","0,76","13,2","0,75","5,09",traces,"72,2","5,67",13
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cru, fumé",1020,"55,8","24,2","0,98","16,1","0,53","6,72",0,88,"5,17",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon sec, découenné, dégraissé",804,"56,2","26,3","0,3","9,5","0,3","3,47",0,"66,4","6,09",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Jambon cru, fumé, allégé en matière grasse",598,"63,9","27,7","0,1","3,4",0,"0,71",0,0,"4,24",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon de Bayonne,953,"48,6",28,"0,63","12,6","0,5","4,93",traces,0,"5,75",13
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon sec,961,"53,2","28,7","0,48","12,6","0,33","4,99",traces,0,"5,7",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon sec de Parme,1040,"52,2","27,2","0,3","15,4","0,3","5,42",0,0,"5,53",13
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon sec Serrano,985,"54,1","30,4","0,76","12,3","0,36","5,2",traces,0,"5,02",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Coppa,1180,0,25,1,20,"0,5","6,83",0,0,"4,5",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pancetta ou Poitrine roulée sèche,1420,"43,9","20,2","0,75","28,8","0,43","12,5",0,"75,2","4,14","14,3"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisson sec,1730,30,"24,2","2,41","34,5","1,2","11,3","0,73","99,4","4,75",5
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisson sec pur porc,1730,"32,8","28,7","1,79","32,3","1,4","12,2",0,"99,3","4,46",5
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisson sec pur porc, qualité supérieure",1520,"36,9","27,7","1,65","27,6","1,65","10,9","< 0,5",100,"4,22",5
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rosette ou Fuseau,1580,"34,9","24,2","1,79","30,7","1,46","11,8",traces,"97,7","4,56","2,3"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse sèche,1870,"26,2","27,3","1,7","37,1","1,21","14,5","0,59",0,"4,74",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisson sec aux noix et/ou noisettes,1980,0,"27,7","1,78","39,7","1,04","14,1","0,75",0,"4,31",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Chipolata, cuite",1170,"55,4","18,8","0,8","22,4","0,4","8,27",0,"75,2","2,15",11
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisse de Toulouse, cuite",1140,"54,9","18,8",0,"22,1",0,"8,2",0,"88,5","1,71",< 1
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Chair à saucisse, crue",1340,"54,2","14,7","0,6","29,1",0,0,0,0,"1,39",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Chair à saucisse, pur porc, crue",1130,"59,2","15,4","5,25","21,2",0,"7,87",0,72,"0,14","0,7"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Farce porc et boeuf, crue",1280,"53,8","11,8","4,4","26,5",0,0,"2,6",0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisse fumée, à cuire",-,"49,5","16,8",0,"30,7",0,0,traces,0,"1,89",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de Morteau,1640,"43,7",16,1,"36,6","0,5",0,0,0,"2,6",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de Montbéliard,1320,"50,5","17,3",1,"27,3","0,75","10,5",0,78,"2,33","< 0,5"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisse de Morteau, bouillie/cuite à l'eau",1340,"49,6","15,2",0,"29,1",0,"12,2",traces,"77,3","2,02",< 1
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisse de Toulouse, crue",1350,"56,2","13,2",1,30,1,"11,3",traces,"65,9","1,89",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Chipolata, crue",1050,"62,2","15,8",1,"20,6","0,32","7,61","0,4","55,5","1,58",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse alsacienne fumée ou Gendarme,-,"49,5",19,0,"24,9",0,"8,56",traces,"84,6","2,75","16,8"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisse de volaille, façon charcutière",960,"59,8","16,8","1,19","17,7","0,9","6,2",traces,0,"1,75",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisse de volaille, type Knack",978,64,14,"1,82","18,9","1,01","5,34",0,0,"1,87",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de Francfort,1120,"56,7","13,7","1,24","23,4",1,9,"< 0,5","73,1",2,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Merguez, crue",1310,"56,2","13,5","2,5",28,2,"11,2",0,0,"1,48",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Merguez, pur boeuf, crue",-,"39,8",11,0,"43,5",0,0,0,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Merguez, porc et boeuf, crue",-,"42,5","11,5",0,41,0,0,0,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Merguez, boeuf, mouton et porc, crue",-,"51,7","14,6",0,"33,3",0,0,0,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Merguez, boeuf et mouton, cuite",1170,"54,8","19,8","1,8","21,8","1,6",12,0,"71,4","2,33",< 1
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Merguez, boeuf et mouton, crue",1300,0,14,"2,8","27,6",0,0,0,0,"1,58",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de foie,1550,"50,7","11,7","0,9","35,9","0,9",12,"0,3",128,"2,03",2
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Diot, cru",-,0,18,0,30,0,0,0,0,"2,25",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de Strasbourg ou Knack,1200,"57,9","12,4","1,39","25,9","1,06","10,9","1,37","73,1","2,21","9,4"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse cocktail,1200,"59,5","12,7","1,46","25,9","1,09","9,59","0,27","64,7","2,1","8,8"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Saucisse viennoise, crue",-,"56,8","10,3",0,"21,3",0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de jambon pur porc,931,"60,8","15,7",1,"17,5","0,7","6,8",0,0,2,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de bière,-,"53,6",13,0,"29,7",0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse de langue à la pistache,-,"55,6","15,3",0,"25,8",0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Saucisse (aliment moyen),1170,"55,8","17,3","0,88",23,"0,65","9,44","0,29","78,5","2,05","5,3"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Confit de foie de porc,1440,"42,9",16,"14,1",25,1,"9,5","0,5",0,"1,51",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Confit de foie de volaille,1470,"46,7",14,"7,42",30,0,11,0,0,"1,93",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté au poivre vert,1480,"48,1","10,1","1,45","34,6",0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté au jambon,-,"56,6","15,2",0,"28,6","0,52",0,traces,0,"0,18",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté ou terrine de campagne,1340,"52,2","15,5","1,5","28,2","0,62","10,4",0,148,"1,54","5,9"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté breton,1500,50,11,"2,88",34,1,13,"0,5",0,"1,67",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Terrine de canard,1330,"50,7","13,2","4,44","27,1","1,3","9,91","1,75",161,"1,39","12,9"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté de lapin,1020,"61,5","16,3","0,00027","20,2",0,"8,8",0,"74,8","1,53","0,74"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Terrine de lapin,1170,"53,8","16,5","5,67","21,2","0,95","7,9",1,0,"1,84",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté de gibier,1180,0,15,4,23,2,9,"0,5",0,"1,53",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté ou terrine aux champignons (forestier),1360,"50,8","12,6","5,93","28,1","1,95","10,6","0,58",0,"1,73",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Pâté de foie de porc, supérieur",1410,"47,6",13,"2,4",31,0,0,traces,0,0,"10,5"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté de foie de porc,1470,"50,7","10,8","2,91","33,3","1,38","11,6","0,2",127,"1,68","21,3"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Mousse de foie de porc supérieure ou Crème de foie,1340,"49,8","11,1","10,3","26,1","2,18","10,5","0,72",0,"1,99",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Mousse de foie de porc,1190,"56,5",12,"3,39","24,9","1,89","9,34","0,75",132,"1,72",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Mousse de canard,1630,"44,4","10,1","7,07","36,1","2,05","13,7","0,45",0,"1,58",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté de foie de volaille,1120,"59,8","13,8","1,96","22,9","0,81","7,12",0,391,"1,22",10
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté de foie d'oie,1900,37,"11,4","4,67","43,8",0,"14,5",0,150,"1,74",2
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté (aliment moyen),1350,"51,2","13,6","4,61","27,9","1,23","10,4","0,29",145,"1,58","9,08"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Pâté en croûte,1220,"45,4",11,"22,9","17,1","3,47","8,33","1,5","60,4","1,83","4,5"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes traditionnelles de porc,1610,"46,3","14,3","0,2","36,9",0,"14,6",traces,"76,2","1,6",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes pur porc,1710,44,"16,7","0,13","38,3","< 0,2","15,2","< 0,5","84,1","0,97","< 0,5"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes de Tours,2160,0,18,traces,50,0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes du Mans,1740,40,"15,6","4,7","37,6","0,13","14,8","0,21",0,"1,28",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes pur oie,1720,0,"14,7",traces,"39,8",0,0,traces,0,"1,3",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes de canard,1560,"47,3","15,3","1,03","34,6",traces,"11,2",traces,131,"1,25",106
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes d'oie,1510,"48,9","14,9","0,99","33,4",0,"9,82",traces,101,"1,29","19,3"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Rillettes de poulet,1410,"52,2","16,4","0,49","30,3","0,36","10,7","0,25",0,"1,19",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Quenelle de veau, en sauce",688,"68,8","3,52","15,6","9,5","0,94","4,56","1,39",0,"1,17",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Quenelle de volaille, crue",780,0,"9,3","14,1","10,1","1,2","1,5","1,1",0,"0,74",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Quenelle de volaille, en sauce",574,0,"3,55","10,3","8,92","1,92","4,95","1,2",0,"1,1",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Quenelle de poisson, en sauce",564,0,"3,79","10,5","8,51","0,97","3,95","0,72",0,"1,11",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Quenelle de poisson, crue",1030,"52,3","8,1","23,6","12,7","1,9","8,2","2,15","50,1","0,95",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Quenelle de poisson, cuite",-,"65,4","5,72",0,"13,1",0,"6,03",0,"24,9","0,8",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Quenelle nature, crue",904,0,"7,68","14,8","13,7","2,15",0,"2,15",0,"1,04",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Confit de canard, viande (cuisse), sans peau, réchauffé",818,58,32,traces,"7,4",0,"2,31",0,112,"1,89","< 0,5"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Confit de canard,1140,"49,7","25,7","0,15","18,8","0,14","7,26","0,4",132,"1,44",< 1
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Canard, magret fumé",1510,0,"21,9","0,55","30,5","0,55","11,3",0,0,"3,28",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Foie gras, canard, entier, cuit",2200,"35,1","8,41","2,32","54,6","1,71",23,"0,35",1040,"1,11",31
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Foie gras, canard, bloc, sans morceaux",1980,"40,8","5,75","2,1",50,"1,47","19,7","0,35",395,"1,14","14,7"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Foie gras, canard, bloc, 30% de morceaux",2010,"39,1","6,88","2,43","50,1","1,41","21,6",0,0,"1,29",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Foie gras, canard, bloc, 50% de morceaux",1970,"38,5","6,39",2,"49,5","1,2","20,2",0,0,"1,29",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Foie gras de canard, cru",2470,0,"5,94","1,41","63,4","1,14","28,1",0,0,"0,52",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Foie gras, canard, bloc (aliment moyen)",2010,"39,1","6,88","2,43","50,1","1,41","21,6",0,0,"1,29",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Galantine (aliment moyen),1150,57,"15,2","1,57","23,4","0,85","9,78","0,67",0,"2,04",5
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Roulade de porc pistachée,1070,"54,5","17,7","0,7","20,2","0,7","7,8","1,2",0,"2,5",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Oeuf au jambon en gelée,-,"81,9","11,5",0,"4,7",0,0,0,0,"1,35",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Jambon en croûte,810,"52,2","14,1","17,8",7,"2,3","2,38","1,1","48,4","2,11","7,21"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Fromage de tête,720,"67,7","14,1","0,2","12,9",0,"4,37",0,61,"1,91",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Museau de porc vinaigrette,766,"74,7","8,22","1,02","16,3","0,62",4,"0,55",587,"1,75",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Museau de boeuf,637,"66,1","26,2",0,"5,17",0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Andouille,878,"60,5","18,4","0,3","15,1",0,0,traces,0,"2,08",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Andouille de Guéméné,972,0,18,traces,18,0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Andouille, réchauffée à la poêle",1120,"55,5","22,5",0,20,"< 0,2","9,29",< 1,330,"2,82",< 1
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Andouille de Vire,989,0,19,traces,18,0,0,traces,0,0,0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Andouillette, à cuire",946,63,"18,8",1,"16,3","< 0,5","6,94","0,71",284,"1,46",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Andouillette, sautée/poêlée",1260,"48,7","24,5",1,"22,3","< 0,2","11,1",< 1,344,"2,73",< 1
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Andouillette de Troyes, à cuire",1050,"59,9","19,7","0,5",19,"< 0,5","7,91","0,9",310,"1,97",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Boudin noir, à cuire",1300,56,"12,2","4,5","27,1","1,12","9,57","1,42","82,5","1,29",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Boudin noir, sauté/poêlé",1020,"61,8","11,9","3,78","20,3","2,86","7,46",0,"73,8","1,31",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Boudin, sauté/poêlé (aliment moyen)",1020,"61,3","11,3","4,02","19,4","2,6","7,2",0,"70,1","1,41","0,075"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Boudin antillais, à cuire",-,"63,9","11,5","9,2","16,5","5,1","6,9",0,0,"1,22",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Boudin blanc, sauté/poêlé",-,"60,1","9,89","4,6","17,1",2,"6,6",0,"61,4","1,64","< 0,5"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Boudin blanc, à cuire",-,"64,2",10,0,21,"3,64","7,89",0,0,"1,42",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Boudin blanc truffé, à cuire",944,"58,8","11,3","4,8","17,8","1,7","7,4","1,4",0,"1,48",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Museau de boeuf en vinaigrette,694,0,"11,3",1,"13,1","0,5","1,5",traces,0,"1,59",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Lardon nature, cru",1120,"56,9","16,6","1,01","22,1","0,78","7,91","0,38","60,7","2,72","0,8"
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Poitrine de porc, fumée, crue",1250,"53,9","15,6","0,79","26,1","0,75","9,39",1,0,"2,41",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,Bresaola,697,"57,1","31,6",0,"4,3",0,"2,04",0,65,"3,46",0
"viandes, œufs, poissons et assimilés",charcuteries et assimilés,"Lardon nature, cuit",1340,"48,2","23,8",2,"24,5",0,"12,6",0,"80,6","3,8",0
